ts,cpu_percent,proc_count,mem_total_kb,mem_used_kb,mem_avail_kb
2025-12-23T20:37:53.472579Z,0.0,117,3546140,474276,3071864
2025-12-23T20:45:12.481109Z,0.0,118,3546140,469180,3076960
2025-12-23T20:45:15.651737Z,0.0,118,3546140,468956,3077184
2025-12-23T20:45:18.202159Z,0.0,118,3546140,467432,3078708
2025-12-23T20:45:20.751652Z,0.0,118,3546140,467712,3078428
2025-12-23T20:45:23.319796Z,0.0,118,3546140,467540,3078600
2025-12-23T20:45:25.907888Z,0.0,118,3546140,467880,3078260
2025-12-23T20:45:28.485180Z,0.0,118,3546140,468672,3077468
2025-12-23T20:45:31.032413Z,0.0,118,3546140,470260,3075880
2025-12-23T20:45:33.587182Z,0.0,118,3546140,468996,3077144
2025-12-23T20:45:36.185557Z,0.0,118,3546140,469700,3076440
2025-12-23T20:45:38.769241Z,0.0,118,3546140,469064,3077076
2025-12-23T20:45:41.304416Z,0.0,118,3546140,468664,3077476
2025-12-23T20:45:43.884660Z,0.0,118,3546140,469548,3076592
2025-12-23T20:45:46.515217Z,0.0,118,3546140,467012,3079128
2025-12-23T20:45:49.082264Z,0.0,118,3546140,467076,3079064
2025-12-23T20:45:51.626453Z,0.25,118,3546140,471184,3074956
2025-12-23T20:45:57.769925Z,0.0,118,3546140,469264,3076876
2025-12-23T20:46:00.341767Z,0.0,118,3546140,470256,3075884
2025-12-23T20:46:02.982060Z,0.37,118,3546140,469588,3076552
2025-12-23T20:46:08.476281Z,0.46,118,3546140,469604,3076536
2025-12-23T20:46:13.440090Z,0.0,118,3546140,470620,3075520
2025-12-23T20:46:19.555162Z,0.0,118,3546140,469312,3076828
2025-12-23T20:46:28.414123Z,0.0,118,3546140,469420,3076720
2025-12-23T20:46:33.766345Z,0.0,118,3546140,469324,3076816
2025-12-23T20:46:38.578986Z,0.0,118,3546140,469316,3076824
2025-12-23T20:46:41.845301Z,0.0,118,3546140,469384,3076756
2025-12-23T20:46:45.254938Z,0.0,118,3546140,470260,3075880
2025-12-23T20:46:49.864356Z,0.0,118,3546140,469320,3076820
2025-12-23T20:46:53.651474Z,0.0,118,3546140,469744,3076396
2025-12-23T20:46:56.270523Z,0.0,118,3546140,468952,3077188
2025-12-23T20:46:58.893706Z,0.0,118,3546140,468836,3077304
2025-12-23T20:47:03.213876Z,0.0,118,3546140,469788,3076352
2025-12-23T20:47:06.695917Z,0.0,118,3546140,469752,3076388
2025-12-23T20:47:11.714534Z,0.0,118,3546140,469628,3076512
2025-12-23T20:47:14.533346Z,0.0,118,3546140,468796,3077344
2025-12-23T20:47:17.632262Z,0.0,118,3546140,469460,3076680
2025-12-23T20:47:20.256285Z,0.0,118,3546140,468628,3077512
2025-12-23T20:47:23.693525Z,0.94,118,3546140,469720,3076420
2025-12-23T20:47:26.984372Z,0.0,118,3546140,467840,3078300
2025-12-23T20:47:30.314412Z,0.0,118,3546140,468312,3077828
2025-12-23T20:47:33.606078Z,0.88,118,3546140,467740,3078400
2025-12-23T20:47:36.718585Z,0.0,118,3546140,468648,3077492
2025-12-23T20:47:39.398841Z,0.0,118,3546140,467204,3078936
2025-12-23T20:47:42.950324Z,0.0,118,3546140,467972,3078168
2025-12-23T20:47:48.273432Z,0.0,118,3546140,465604,3080536
2025-12-23T20:47:50.949332Z,0.0,118,3546140,469196,3076944
2025-12-23T20:47:53.644673Z,0.0,118,3546140,468292,3077848
2025-12-23T20:47:56.280163Z,0.0,118,3546140,467024,3079116
2025-12-23T20:47:59.995505Z,0.0,118,3546140,467512,3078628
2025-12-23T20:48:02.550985Z,0.36,118,3546140,465808,3080332
2025-12-23T20:48:07.106126Z,0.0,118,3546140,465636,3080504
2025-12-23T20:48:09.650586Z,0.0,118,3546140,465924,3080216
2025-12-23T20:48:12.230827Z,0.0,118,3546140,465752,3080388
2025-12-23T20:48:14.764176Z,0.0,118,3546140,465832,3080308
2025-12-23T20:48:17.465530Z,0.0,118,3546140,466736,3079404
2025-12-23T20:48:20.533273Z,0.0,118,3546140,466612,3079528
2025-12-23T20:48:23.227639Z,0.0,118,3546140,465540,3080600
2025-12-23T20:48:25.764543Z,0.0,118,3546140,465908,3080232
2025-12-23T20:48:28.306511Z,0.0,118,3546140,465968,3080172
2025-12-23T20:48:30.853369Z,0.98,118,3546140,466936,3079204
